キヤノンらしい,キヤノンらしい,キャノンらしい,キャノンらしく,キヤノンらしさ,キャノンっぽい,キヤノンぽい,Canonらしい,Canonらしく,canonらしさ,,
キヤノンらしくない,キヤノンらしくない,,,,,,,,,,
ニコンらしい,ニコンらしい,ニコンらしく,ニコンらしさ,ニコンっぽい,ニコン機らしい,Ｎｉｋｏｎらしい,NIKONらしい,Nikonらしい,Nikonらしく,,
フジらしい,フジらしい,FUJIFILMらしさ,,,,,,,,,
ソニーらしい,ソニーらしい,SONYらしい,,,,,,,,,
パナソニックらしい,パナソニックらしい,,,,,,,,,,
LUMIXらしい,LUMIXらしい,Lumix らしい,,,,,,,,,
手になじむ,手になじむ,手になじみ,手に馴染む,手によく馴染み,手に馴染んで,馴染み,,,,,
なじめない,なじめない,なじめなく,馴染めず,馴染めなかった,慣れません,,,,,,
直感的,直感的,直感操作,直感的な操作,直感的に,直感的な,,,,,,
複雑な操作,複雑な操作,直感的とは言えない,,,,,,,,,
ひと手間,ひと手間,持ち替え,,,,,,,,,
軽量,軽量,軽量化,軽く,重くない,,,,,,,
重い,重い,重く,重たい,重さ,重め,,,,,,
小さい,小さい,小さく,小型,小さすぎる,,,,,,,
大きい,大きい,大きく,大きめ,でかい,でかく,デカく,大きすぎる,,,,
使いやすい,使いやすい,使い易い,使いやすく,使い易さ,使い易く,使用しやすい,やりやすい,扱いやすい,容易に操作,優れた操作性,快適な操作性
使いづらい,使いづらい,使い辛い,使い難い,使いにくく,やりづらい,やりにくい,しづらい,し辛い,しにくい,使いこなせない,難しい
握りやすい,握りやすい,握りやすく,握り易く,握りやすさ,握りやすかった,持ちやすい,つかみやすい,しっかり握れ,しっかり持てる,,
持ちづらい,持ちづらい,持ちにくい,握りにくい,,,,,,,,
滑りにくい,滑りにくい,,,,,,,,,,
滑りやすい,滑りやすい,すべりやすい,滑ります,滑ってしまう,,,,,,,
落としそう,落としそう,,,,,,,,,,
深いブリップ,深いブリップ,,,,,,,,,,
ホールド感,ホールド感,ホールド性,良いホールド感,良好なホールド性,心地よいホールド感,素晴らしいホールド感,しっかりホールド,十分なホールド感,,,
グリップ,グリップ,グリップ性,しっかりしたグリップ,,,,,,,,
見やすい,見やすい,見易く,みやすく,,,,,,,,
見づらい,見づらい,見辛い,見難い,見にくい,,,,,,,
覗きやすい,覗きやすい,,,,,,,,,,
撮影しやすい,撮影しやすい,撮りやすい,,,,,,,,,
運びやすい,運びやすい,持ち出しやすい,文句なしの携帯性,,,,,,,,
押しづらい,押しづらい,押しづらく,押しにくい,押しにくく,,,,,,,
押し間違える,押し間違える,,,,,,,,,,
回しづらい,回しづらい,回し辛い,回しにくい,,,,,,,,
安い,安い,安かった,安価,低価格,激安,格安,価格も下がり,購入しやすい価格,お値打ち,リーズナブル,値下がり
高額,高額,高すぎ,高すぎる,,,,,,,,
高級感,高級感,安っぽくない,安っぽくなく,ゴージャス,,,,,,,
安っぽい,安っぽい,安っぽさ,安物っぽい,チープさ,高級感が感じられません,高級感はありません,,,,,
違和感,違和感,違和感を覚え,,,,,,,,,
シンプル,シンプル,,,,,,,,,,
スッキリ,スッキリ,スッキリしたデザイン,,,,,,,,,
スタイリッシュ,スタイリッシュ,,,,,,,,,,
安定,安定,安定感,,,,,,,,,
フィット,フィット,フィットする,手にフィット,手にフィットする,,,,,,,
疲れない,疲れない,疲れません,手がつかれません,,,,,,,,
疲れる,疲れる,疲れます,疲れました,手が疲れる,手首に負担,手首が痛く,手が疲れ,,,,
目の疲労,目の疲労,,,,,,,,,,
自分好み,自分好み,,,,,,,,,,
カスタマイズ,カスタマイズ,カスタマイズ性能,カスタム,,,,,,,,
薄く,薄く,スリム,,,,,,,,,
手軽,手軽,手軽さ,お手軽,,,,,,,,
気軽,気軽,,,,,,,,,,
コンパクト,コンパクト,スペースを取らない,スッキリと収まり,かさばらない,,,,,,,
かさばる,かさばる,かさばり,かさばります,邪魔,コンパクトとは言えません,,,,,,
高性能,高性能,,,,,,,,,,
新機能,新機能,,,,,,,,,,
追随性,追随性,,,,,,,,,,
AF性能,AF性能,,,,,,,,,,
光学性能,光学性能,,,,,,,,,,
タッチアンドドラッグ,タッチアンドドラッグ,,,,,,,,,,
慣れる,慣れる,慣れ,慣れ易い,直ぐに慣れます,直ぐに慣れる,すぐに慣れる,すぐに慣れました,,,,
慣れの問題,慣れの問題,,,,,,,,,,
同じ操作性,同じ操作性,操作感が同じ,操作系を踏襲,慣れ親しんだ操作性,,,,,,,
戸惑い,戸惑い,戸惑う,戸惑いはあり,,,,,,,,
分かりやすい,分かりやすい,迷うことなく,,,,,,,,,
わかりづらい,わかりづらい,分かりにくい,わかりにくい,理解不能,,,,,,,
使い慣れたUI,使い慣れたUI,,,,,,,,,,
かっこいい,かっこいい,かっこよく,カッコいい,カッコよく,カッコよさ,カッコよかった,カッコイイ,カッコ良い,カッコ良すぎ,格好いい,格好良い
かっこ悪い,かっこ悪い,カッコ悪い,かっこよくない,カッコいいとは言えない,,,,,,,
かわいい,かわいい,,,,,,,,,,
洗練された,洗練された,洗練され,洗練されている,洗練されたデザイン,,,,,,,
好きなデザイン,好きなデザイン,,,,,,,,,,
エッジの効いたデザイン,エッジの効いたデザイン,,,,,,,,,,
合理的なデザイン,合理的なデザイン,,,,,,,,,,
無骨な,無骨な,無骨,無骨なデザイン,,,,,,,,
角ばった,角ばった,角ばったデザイン,,,,,,,,,
先進的な,先進的な,先鋭的,,,,,,,,,
オシャレな,オシャレな,オシャレ,おしゃれ,お洒落な,お洒落,,,,,,
シックな,シックな,シック,シックなデザイン,,,,,,,,
未来的,未来的,,,,,,,,,,
グッドデザイン,グッドデザイン,,,,,,,,,,
直線的,直線的,直線的なデザイン,,,,,,,,,
カメラらしい,カメラらしい,カメラらしいデザイン,,,,,,,,,
無難,無難,無難なデザイン,,,,,,,,,
遊び心,遊び心,,,,,,,,,,
ユニークな,ユニークな,,,,,,,,,,
飽きない,飽きない,飽きないデザイン,飽きのこないデザイン,,,,,,,,
クラシックな,クラシックな,クラシック,クラシカルな,クラシカル,,,,,,,
メカニカルな,メカニカルな,メカニカル,メカメカしく,,,,,,,,
メタリック,メタリック,,,,,,,,,,
マグネシウムボディ,マグネシウムボディ,,,,,,,,,,
プラスチック,プラスチック,プラスチッキー,,,,,,,,,
レトロな,レトロな,レトロ,,,,,,,,,
昭和,昭和,,,,,,,,,,
ノスタルジックな,ノスタルジックな,懐古,,,,,,,,,
野暮ったく,野暮ったく,,,,,,,,,,
高画質,高画質,最高画質,最高レベルの画質,満足な画質,素晴らしい画質,すばらしい画質,十分な画質,満足する画質,キレの良い画質,,
そこそこの画質,そこそこの画質,,,,,,,,,,
ノイズ,ノイズ,ノイズが少し目立つ,,,,,,,,,
粗い,粗い,粗さ,,,,,,,,,
ボケない,ボケない,,,,,,,,,,
便利,便利,,,,,,,,,,
不便,不便,,,,,,,,,,
好き,好き,好み,好感が持てる,,,,,,,,
嫌い,嫌い,好みではありません,,,,,,,,,
改善,改善,,,,,,,,,,
ファームアップ,ファームアップ,ファームアップに期待,ファームアップを望みます,,,,,,,,
要改善,要改善,,,,,,,,,,
お気に入り,お気に入り,気に入ってます,気にいった,,,,,,,,
オススメ,オススメ,おすすめ,お勧め,,,,,,,,
オススメはしません,オススメはしません,オススメもしません,,,,,,,,,
満足,満足,大満足,期待通り,,,,,,,,
予想以上,予想以上,期待以上,,,,,,,,,
魅力的,魅力的,魅力を感じ,,,,,,,,,
感動,感動,,,,,,,,,,
名機,名機,,,,,,,,,,
優秀,優秀,秀逸なカメラ,最高,,,,,,,,
快適,快適,,,,,,,,,,
素晴らしい,素晴らしい,素晴らしく,,,,,,,,,
コスパ,コスパ,,,,,,,,,,
至れり尽くせり,至れり尽くせり,,,,,,,,,,
不満,不満,後悔,良さがわからない,残念,がっかり,ガッカリ,,,,,
物足りない,物足りない,,,,,,,,,,
イライラ,イライラ,,,,,,,,,,
酷評,酷評,,,,,,,,,,
面倒,面倒,めんどくさい,煩わしい,,,,,,,,
安心,安心,安心感,,,,,,,,,
キレイ,キレイ,綺麗,美しさ,,,,,,,,
クリア,クリア,クリアー,,,,,,,,,
精細な,精細な,高精細,,,,,,,,,
高感度,高感度,高感度耐性,,,,,,,,,
楽しい,楽しい,楽しく,楽しみ,楽しさ,楽しめる,楽しくなる,,,,,
ワクワク,ワクワク,わくわく,,,,,,,,,
楽しくない,楽しくない,,,,,,,,,,
マルチファンクションバー,マルチファンクションバー,,,,,,,,,,
長持ち,長持ち,,,,,,,,,,
予備バッテリー,予備バッテリー,予備,予備のバッテリー,,,,,,,,
もう少し長持ち,もう少し長持ち,バッテリー持ちが良いとは言えません,,,,,,,,,
USB給電,USB給電,ＵＳＢ給電,USB充電,USBで充電,,,,,,,
充電中使えない,充電中使えない,,,,,,,,,,
単3電池,単3電池,単三電池,単3アルカリ,単三バッテリー,乾電池式,,,,,,
ワンアクション,ワンアクション,ワンタッチ,,,,,,,,,
握り直す,握り直す,,,,,,,,,,
誤動作,誤動作,誤作動,,,,,,,,,
誤操作,誤操作,,,,,,,,,,
高速操作,高速操作,,,,,,,,,,
爆速,爆速,俊敏,,,,,,,,,
タイムラグ,タイムラグ,,,,,,,,,,
愛着がわく,愛着がわく,愛着の湧く,愛着が湧いて,愛着が出て,愛着が持てる,,,,,,
いい色,いい色,好みの色,最高の発色,,,,,,,,
鮮やか,鮮やか,,,,,,,,,,
白く飛ぶ,白く飛ぶ,白く飛んで,,,,,,,,,
明るすぎる,明るすぎる,,,,,,,,,,
鮮やかすぎる,鮮やかすぎる,,,,,,,,,,
最新,最新,,,,,,,,,,
創造性,創造性,,,,,,,,,,
上質,上質,高質感,高い質感,良い質感,,,,,,,
高品質,高品質,,,,,,,,,,
重厚感,重厚感,,,,,,,,,,
aps-c,aps-c,,,,,,,,,,
万能,万能,万能なカメラ,,,,,,,,,
角ばって無い,角ばって無い,,,,,,,,,,
ゴツゴツ,ゴツゴツ,ごっつい,,,,,,,,,
窮屈,窮屈,,,,,,,,,,
ジャスピン,ジャスピン,,,,,,,,,,
バリアングル,バリアングル,,,,,,,,,,
チルト,チルト,,,,,,,,,,
剥がれ,剥がれ,ボディの剥がれ,ラバーが剥がれる,グリップが剥がれ,捲れてきたりする,,,,,,
大きめの液晶,大きめの液晶,,,,,,,,,,
無音撮影,無音撮影,サイレント撮影,,,,,,,,,
無音シャッター,無音シャッター,極小のシャッター音,,,,,,,,,
心地いい音,心地いい音,素晴らしいシャッター音,上品な音,,,,,,,,
上品,上品,,,,,,,,,,
レンズの拡充,レンズの拡充,レンズが拡張,,,,,,,,,
レンズの拡張に期待,レンズの拡張に期待,,,,,,,,,,
光軸線上,光軸線上,,,,,,,,,,
シャープ,シャープ,シャープ感,,,,,,,,,
素晴らしい解像度,素晴らしい解像度,素晴らしい解像感,,,,,,,,,
塗りつぶされてる,塗りつぶされてる,,,,,,,,,,
堅牢性,堅牢性,堅牢感,,,,,,,,,
質実剛健,質実剛健,頑丈,,,,,,,,,
防水,防水,防水性能,防滴,,,,,,,,
防塵,防塵,,,,,,,,,,
キャッシュバック,キャッシュバック,,,,,,,,,,
キャンペーン,キャンペーン,,,,,,,,,,
サブ機,サブ機,,,,,,,,,,
XQDカード,XQDカード,,,,,,,,,,
軽快に,軽快に,軽快,,,,,,,,,
統一感,統一感,統一,,,,,,,,,
透明感,透明感,,,,,,,,,,
コントロールダイヤル,コントロールダイヤル,,,,,,,,,,
ボタンでの操作,ボタンでの操作,,,,,,,,,,
タッチパネル操作,タッチパネル操作,,,,,,,,,,
構図が決められる,構図が決められる,,,,,,,,,,
ブラックアウト,ブラックアウト,,,,,,,,,,
タッチシャッター,タッチシャッター,,,,,,,,,,
シャッターショック,シャッターショック,,,,,,,,,,
フォーサーズ,フォーサーズ,マイクロフォーサーズ,,,,,,,,,
かゆいところに手が届く,かゆいところに手が届く,,,,,,,,,,
％表示,％表示,,,,,,,,,,
％表示でない,％表示でない,,,,,,,,,,
つるつる,つるつる,ツルツル,,,,,,,,,
アナログ,アナログ,,,,,,,,,,
ユーザーフレンドリー,ユーザーフレンドリー,,,,,,,,,,
